id,cluster,entropy,turbulence,transitions
1,type 1,0.21695679408822,3.16220118545164,2
2,type 1,0.162488237864537,3,2
3,type 1,0.162488237864537,3,2
4,type 1,0.181432261960644,2.44214272944144,1
5,type 1,0.21695679408822,3.16220118545164,2
6,type 1,0.21695679408822,3.16220118545164,2
7,type 2,0.542750918624139,5.36055486039397,3
8,type 1,0.350328974383813,3.70968898075413,2
9,type 1,0.21695679408822,3.16220118545164,2
10,type 3,0.427663107552391,4.63523570720238,3
11,type 1,0.242746981237189,4,3
12,type 3,0.381116455864281,3.90578465838235,2
13,type 1,0.0815649357620124,2,1
14,type 1,0.0815649357620124,2,1
15,type 1,0.427663107552391,4.63523570720238,3
16,type 3,0.339855679587503,4.30021195470333,3
17,type 1,0.136698050715568,2.21266088331867,1
18,type 1,0.162488237864537,3,2
19,type 1,0.443718949722753,4.6528835730218,3
20,type 1,0.136698050715568,2.21266088331867,1
21,type 3,0.298009650268171,3.5032381032867,2
22,type 1,0.21695679408822,3.16220118545164,2
23,type 1,0.136698050715568,2.21266088331867,1
24,type 1,0.219155792935046,2.69131448189349,1
25,type 1,0.21695679408822,3.16220118545164,2
26,type 2,0.512524277171969,5.27547917220044,2
27,type 3,0.356650471575569,3.71937153415147,2
28,type 1,0.21695679408822,3.16220118545164,2
29,type 1,0.162488237864537,3,2
30,type 1,0.162488237864537,3,2
31,type 2,0.0815649357620124,2,1
32,type 1,0.162488237864537,3,2
33,type 1,0.136698050715568,2.21266088331867,1
34,type 1,0.162488237864537,3,2
35,type 1,0.21695679408822,3.16220118545164,2
36,type 3,0.532030683290648,5.19627958101732,3
37,type 1,0.162488237864537,3,2
38,type 3,0.314065492438533,3.52006272592806,2
39,type 3,0.298009650268171,3.5032381032867,2
40,type 1,0.270736167232985,3.33750089880782,2
41,type 3,0.298009650268171,3.5032381032867,2
42,type 1,0.21695679408822,3.16220118545164,2
43,type 1,0.0815649357620124,2,1
44,type 1,0.162488237864537,3,2
45,type 1,0.21695679408822,3.16220118545164,2
46,type 1,0.0815649357620124,2,1
47,type 1,0.21695679408822,3.16220118545164,2
48,type 1,0.270736167232985,3.33750089880782,2
49,type 1,0.0815649357620124,2,1
50,type 3,0.426817568262608,5.21195525286223,4
51,type 1,0.21695679408822,3.16220118545164,2
52,type 3,0.483027986867953,4.96927348436774,3
53,type 1,0.270736167232985,3.33750089880782,2
54,type 1,0.162488237864537,3,2
55,type 3,0.601909348681752,5.94189704543643,3
56,type 1,0.21695679408822,3.16220118545164,2
57,type 1,0.21695679408822,3.16220118545164,2
58,type 3,0.433984604744146,4.64403265543954,3
59,type 1,0.162488237864537,3,2
60,type 3,0.46866359758194,6.15764667166388,5
61,type 1,0.136698050715568,2.21266088331867,1
62,type 1,0.0815649357620124,2,1
63,type 1,0.181432261960644,2.44214272944144,1
64,type 3,0.483027986867953,4.96927348436774,3
65,type 1,0.270736167232985,3.33750089880782,2
66,type 1,0.270736167232985,3.33750089880782,2
67,type 1,0.181432261960644,2.44214272944144,1
68,type 1,0.162488237864537,3,2
69,type 3,0.548797001844277,5.66690411425733,2
70,type 3,0.392175003703145,4.46970247487723,3
71,type 1,0.162488237864537,3,2
72,type 1,0.162488237864537,3,2
73,type 3,0.42211694589383,4.1457880955608,2
74,type 1,0.21695679408822,3.16220118545164,2
75,type 1,0.270736167232985,3.33750089880782,2
76,type 3,0.350328974383813,3.70968898075413,2
77,type 1,0.162488237864537,3,2
78,type 1,0.21695679408822,3.16220118545164,2
79,type 1,0.21695679408822,3.16220118545164,2
80,type 1,0.21695679408822,3.16220118545164,2
81,type 1,0.242746981237189,4,3
82,type 1,0.270736167232985,3.33750089880782,2
83,type 3,0.298009650268171,3.5032381032867,2
84,type 1,0.181432261960644,2.44214272944144,1
85,type 1,0.21695679408822,3.16220118545164,2
86,type 4,0,1,0
87,type 1,0.270736167232985,3.33750089880782,2
88,type 1,0.162488237864537,3,2
89,type 1,0.162488237864537,3,2
90,type 1,0.298009650268171,3.5032381032867,2
91,type 1,0.21695679408822,3.16220118545164,2
92,type 1,0.0815649357620124,2,1
93,type 1,0.0815649357620124,2,1
94,type 1,0.136698050715568,2.21266088331867,1
95,type 4,0,1,0
96,type 4,0,1,0
97,type 1,0.270736167232985,3.33750089880782,2
98,type 1,0.219155792935046,2.69131448189349,1
99,type 1,0.270736167232985,3.33750089880782,2
100,type 3,0.376119161532783,4.45414766068238,3
101,type 3,0.392175003703145,4.46970247487723,3
102,type 3,0.356650471575569,3.71937153415147,2
103,type 3,0.350328974383813,3.70968898075413,2
104,type 1,0.0815649357620124,2,1
105,type 1,0.350328974383813,3.70968898075413,2
106,type 1,0.0815649357620124,2,1
107,type 1,0.0815649357620124,2,1
108,type 1,0.136698050715568,2.21266088331867,1
109,type 1,0.136698050715568,2.21266088331867,1
110,type 4,0,1,0
111,type 4,0,1,0
112,type 4,0,1,0
113,type 1,0.162488237864537,3,2
114,type 1,0.162488237864537,3,2
115,type 4,0,1,0
116,type 1,0.0815649357620124,2,1
117,type 3,0.483027986867953,4.96927348436774,3
118,type 1,0.314065492438533,3.52006272592806,2
119,type 3,0.570368462392231,5.43493705671655,3
120,type 1,0.21695679408822,3.16220118545164,2
121,type 1,0.0815649357620124,2,1
122,type 4,0,1,0
123,type 3,0.314065492438533,3.52006272592806,2
124,type 1,0.136698050715568,2.21266088331867,1
125,type 1,0.0815649357620124,2,1
126,type 1,0.21695679408822,3.16220118545164,2
127,type 1,0.181432261960644,2.44214272944144,1
128,type 1,0.136698050715568,2.21266088331867,1
129,type 1,0.181432261960644,2.44214272944144,1
130,type 1,0.136698050715568,2.21266088331867,1
131,type 1,0.0815649357620124,2,1
132,type 1,0.0815649357620124,2,1
133,type 1,0.136698050715568,2.21266088331867,1
134,type 2,0.531155668506185,5.45795722398584,2
135,type 1,0.162488237864537,3,2
136,type 3,0.251462998580061,2.96384033670458,1
137,type 1,0.162488237864537,3,2
138,type 1,0.314065492438533,3.52006272592806,2
139,type 1,0.270736167232985,3.33750089880782,2
140,type 1,0.136698050715568,2.21266088331867,1
141,type 1,0.162488237864537,3,2
142,type 1,0.162488237864537,3,2
143,type 3,0.339855679587503,4.30021195470333,3
144,type 1,0.162488237864537,3,2
145,type 1,0.261001822254378,3.33006430996604,2
146,type 4,0.32365681966673,3.97819562968165,1
147,type 2,0.489585053158471,5.19627958101732,3
148,type 1,0.21695679408822,3.16220118545164,2
149,type 3,0.261001822254378,3.33006430996604,2
150,type 1,0.0815649357620124,2,1
151,type 3,0.329572509844673,3.68102522250199,2
152,type 4,0.181432261960644,2.44214272944144,1
153,type 1,0.162488237864537,3,2
154,type 1,0.21695679408822,3.16220118545164,2
155,type 1,0.219155792935046,2.69131448189349,1
156,type 1,0.21695679408822,3.16220118545164,2
157,type 1,0.136698050715568,2.21266088331867,1
158,type 1,0.0815649357620124,2,1
159,type 3,0.350328974383813,3.70968898075413,2
160,type 4,0,1,0
161,type 1,0.0815649357620124,2,1
162,type 1,0.136698050715568,2.21266088331867,1
163,type 1,0.21695679408822,3.16220118545164,2
164,type 1,0.270736167232985,3.33750089880782,2
165,type 1,0.0815649357620124,2,1
166,type 1,0.0815649357620124,2,1
167,type 1,0.136698050715568,2.21266088331867,1
168,type 1,0.0815649357620124,2,1
169,type 3,0.379731334537302,4.04494740605398,2
170,type 1,0.21695679408822,3.16220118545164,2
171,type 1,0.162488237864537,3,2
172,type 1,0.350328974383813,3.70968898075413,2
173,type 1,0.136698050715568,2.21266088331867,1
174,type 1,0.21695679408822,3.16220118545164,2
175,type 1,0.261001822254378,3.33006430996604,2
176,type 1,0.296526354381955,4.14855654050828,3
177,type 2,0.520937054854909,5.45795722398584,2
178,type 3,0.530742908708721,5.20927692154619,3
179,type 1,0.426817568262608,4.15890359535106,2
180,type 1,0.21695679408822,3.16220118545164,2
181,type 3,0.261001822254378,3.33006430996604,2
182,type 2,0.563476167149272,6.05104760559039,2
183,type 2,0,1,0
184,type 2,0.49776067080114,5.58536588253306,3
185,type 1,0.181432261960644,2.44214272944144,1
186,type 1,0.21695679408822,3.16220118545164,2
187,type 1,0.0815649357620124,2,1
188,type 3,0.392175003703145,4.46970247487723,3
189,type 1,0.0815649357620124,2,1
190,type 1,0.251462998580061,2.96384033670458,1
191,type 2,0.512524277171969,5.27547917220044,2
192,type 1,0.0815649357620124,2,1
193,type 1,0.136698050715568,2.21266088331867,1
194,type 2,0.659811220171447,7.92481250360578,5
195,type 4,0.181432261960644,2.44214272944144,1
196,type 1,0.0815649357620124,2,1
197,type 4,0.0815649357620124,2,1
198,type 1,0.0815649357620124,2,1
199,type 1,0.162488237864537,3,2
200,type 1,0.21695679408822,3.16220118545164,2
201,type 3,0.433984604744146,4.64403265543954,3
202,type 1,0.392138575424814,3.92806610575836,2
203,type 1,0.356614043297238,3.86222829239561,2
204,type 1,0.136698050715568,2.21266088331867,1
205,type 1,0.136698050715568,2.21266088331867,1
206,type 1,0.136698050715568,2.21266088331867,1
207,type 1,0.21695679408822,3.16220118545164,2
208,type 3,0.392175003703145,4.46970247487723,3
209,type 2,0.385611641059996,8.62205181945638,1
210,type 1,0.0815649357620124,2,1
211,type 1,0.0815649357620124,2,1
212,type 1,0.136698050715568,2.21266088331867,1
213,type 1,0.162488237864537,3,2
214,type 1,0.0815649357620124,2,1
215,type 1,0.162488237864537,3,2
216,type 4,0.0815649357620124,2,1
217,type 2,0.32365681966673,3.97819562968165,1
218,type 1,0.136698050715568,2.21266088331867,1
219,type 1,0.0815649357620124,2,1
220,type 3,0.261001822254378,3.33006430996604,2
221,type 1,0.136698050715568,2.21266088331867,1
222,type 4,0.381877019143138,7.30012372456901,1
223,type 1,0.0815649357620124,2,1
224,type 1,0.0815649357620124,2,1
225,type 1,0.136698050715568,2.21266088331867,1
226,type 1,0.162488237864537,3,2
227,type 1,0.0815649357620124,2,1
228,type 1,0.350328974383813,3.70968898075413,2
229,type 1,0.136698050715568,2.21266088331867,1
230,type 3,0.46866359758194,5.52508639951243,4
231,type 2,0.486676403753567,4.83565857199171,2
232,type 4,0,1,0
233,type 1,0.457641478021406,4.80242262651537,3
234,type 1,0.303206312380177,3.59968400642792,1
235,type 3,0.483027986867953,4.96927348436774,3
236,type 2,0.32365681966673,3.97819562968165,1
237,type 1,0.162488237864537,3,2
238,type 1,0.32365681966673,3.97819562968165,1
239,type 1,0.0815649357620124,2,1
240,type 1,0.162488237864537,3,2
241,type 1,0.0815649357620124,2,1
242,type 1,0.0815649357620124,2,1
243,type 1,0.296526354381955,4.14855654050828,3
244,type 1,0.136698050715568,2.21266088331867,1
245,type 2,0.57466028880996,6.44183755862256,2
246,type 3,0.356650471575569,3.71937153415147,2
247,type 1,0.162488237864537,3,2
248,type 2,0.507765968533758,4.96790637029015,2
249,type 1,0.21695679408822,3.16220118545164,2
250,type 1,0.136698050715568,2.21266088331867,1
251,type 1,0.136698050715568,2.21266088331867,1
252,type 3,0.447503454740376,4.37144823073116,2
253,type 1,0.21695679408822,3.16220118545164,2
254,type 1,0.279279910128661,3.26449981483829,1
255,type 1,0.261001822254378,3.33006430996604,2
256,type 3,0.427663107552391,4.63523570720238,3
257,type 2,0.379731334537302,4.04494740605398,2
258,type 2,0.452630699318705,4.92246339952898,2
259,type 4,0,1,0
260,type 4,0,1,0
261,type 3,0.457641478021406,4.80242262651537,3
262,type 2,0.531155668506185,5.45795722398584,2
263,type 3,0.350328974383813,3.70968898075413,2
264,type 1,0.0815649357620124,2,1
265,type 2,0.512524277171969,5.27547917220044,2
266,type 1,0.0815649357620124,2,1
267,type 1,0.21695679408822,3.16220118545164,2
268,type 1,0.0815649357620124,2,1
269,type 1,0.0815649357620124,2,1
270,type 1,0.162488237864537,3,2
271,type 4,0,1,0
272,type 3,0.447503454740376,4.37144823073116,2
273,type 3,0.447503454740376,4.37144823073116,2
274,type 1,0.136698050715568,2.21266088331867,1
275,type 3,0.443718949722753,4.6528835730218,3
276,type 3,0.392138575424814,3.92806610575836,2
277,type 1,0.314065492438533,3.52006272592806,2
278,type 1,0.261001822254378,3.33006430996604,2
279,type 1,0.181432261960644,2.44214272944144,1
280,type 1,0.0815649357620124,2,1
281,type 1,0.0815649357620124,2,1
282,type 3,0.40690664301325,4.60916219559249,3
283,type 3,0.350328974383813,3.70968898075413,2
284,type 1,0.21695679408822,3.16220118545164,2
285,type 1,0.21695679408822,3.16220118545164,2
286,type 1,0.21695679408822,3.16220118545164,2
287,type 1,0.270736167232985,3.33750089880782,2
288,type 1,0.21695679408822,3.16220118545164,2
289,type 1,0.21695679408822,3.16220118545164,2
290,type 1,0.136698050715568,2.21266088331867,1
291,type 1,0.21695679408822,3.16220118545164,2
292,type 1,0.136698050715568,2.21266088331867,1
293,type 4,0,1,0
294,type 3,0.356650471575569,3.71937153415147,2
295,type 1,0.0815649357620124,2,1
296,type 3,0.314065492438533,3.52006272592806,2
297,type 1,0.162488237864537,3,2
298,type 4,0,1,0
299,type 4,0,1,0
300,type 4,0,1,0
301,type 2,0.386852807234542,9.62205181945638,1
302,type 1,0.136698050715568,2.21266088331867,1
303,type 3,0.314065492438533,3.52006272592806,2
304,type 1,0.270736167232985,3.33750089880782,2
305,type 3,0.637502648996289,6.42732387260667,3
306,type 1,0.136698050715568,2.21266088331867,1
307,type 3,0.279279910128661,3.26449981483829,1
308,type 1,0.270736167232985,3.33750089880782,2
309,type 1,0.0815649357620124,2,1
310,type 1,0.0815649357620124,2,1
311,type 1,0.261001822254378,3.33006430996604,2
312,type 1,0.162488237864537,3,2
313,type 1,0.0815649357620124,2,1
314,type 1,0.136698050715568,2.21266088331867,1
315,type 3,0.329572509844673,3.68102522250199,2
316,type 1,0.0815649357620124,2,1
317,type 1,0.0815649357620124,2,1
318,type 4,0,1,0
319,type 1,0.21695679408822,3.16220118545164,2
320,type 1,0.21695679408822,3.16220118545164,2
321,type 1,0.21695679408822,3.16220118545164,2
322,type 1,0.21695679408822,3.16220118545164,2
323,type 1,0.21695679408822,3.16220118545164,2
324,type 1,0.136698050715568,2.21266088331867,1
325,type 1,0.162488237864537,3,2
326,type 2,0.399335928229289,4.22633152287135,2
327,type 1,0.0815649357620124,2,1
328,type 1,0.21695679408822,3.16220118545164,2
329,type 3,0.350328974383813,3.70968898075413,2
330,type 3,0.392175003703145,4.46970247487723,3
331,type 1,0.21695679408822,3.16220118545164,2
332,type 1,0.0815649357620124,2,1
333,type 1,0.219155792935046,2.69131448189349,1
334,type 1,0.392175003703145,4.46970247487723,3
335,type 2,0.392138575424814,3.92806610575836,2
336,type 1,0.136698050715568,2.21266088331867,1
337,type 1,0.21695679408822,3.16220118545164,2
338,type 3,0.339855679587503,4.30021195470333,3
339,type 3,0.356650471575569,3.71937153415147,2
340,type 3,0.356650471575569,3.71937153415147,2
341,type 1,0.162488237864537,3,2
342,type 3,0.356614043297238,3.86222829239561,2
343,type 3,0.356614043297238,3.86222829239561,2
344,type 1,0.181432261960644,2.44214272944144,1
345,type 1,0.21695679408822,3.16220118545164,2
346,type 4,0,1,0
347,type 2,0.555362696993642,5.91132284192378,2
348,type 1,0.162488237864537,3,2
349,type 1,0.162488237864537,3,2
350,type 3,0.350328974383813,3.70968898075413,2
351,type 1,0.270736167232985,3.33750089880782,2
352,type 1,0.21695679408822,3.16220118545164,2
353,type 1,0.21695679408822,3.16220118545164,2
354,type 1,0.162488237864537,3,2
355,type 2,0.596143220855843,7.54137323217347,2
356,type 1,0.136698050715568,2.21266088331867,1
357,type 3,0.314065492438533,3.52006272592806,2
358,type 1,0.270736167232985,3.33750089880782,2
359,type 1,0.0815649357620124,2,1
360,type 1,0.21695679408822,3.16220118545164,2
361,type 1,0.21695679408822,3.16220118545164,2
362,type 1,0.21695679408822,3.16220118545164,2
363,type 1,0.136698050715568,2.21266088331867,1
364,type 1,0.162488237864537,3,2
365,type 1,0.162488237864537,3,2
366,type 3,0.350328974383813,3.70968898075413,2
367,type 1,0.21695679408822,3.16220118545164,2
368,type 2,0.379731334537302,4.04494740605398,2
369,type 1,0.136698050715568,2.21266088331867,1
370,type 1,0.350328974383813,3.70968898075413,2
371,type 1,0.401909348681752,4.47754322809441,3
372,type 2,0.541431928028205,5.70487196445635,2
373,type 3,0.407348878305394,4.10714216766132,2
374,type 3,0.261001822254378,3.33006430996604,2
375,type 4,0,1,0
376,type 1,0.162488237864537,3,2
377,type 1,0.0815649357620124,2,1
378,type 1,0.136698050715568,2.21266088331867,1
379,type 1,0.270736167232985,3.33750089880782,2
380,type 1,0.162488237864537,3,2
381,type 1,0.0815649357620124,2,1
382,type 1,0.0815649357620124,2,1
383,type 1,0.21695679408822,3.16220118545164,2
384,type 1,0.181432261960644,2.44214272944144,1
385,type 1,0.314065492438533,3.52006272592806,2
386,type 1,0.270736167232985,3.33750089880782,2
387,type 3,0.356650471575569,3.71937153415147,2
388,type 1,0.0815649357620124,2,1
389,type 1,0.21695679408822,3.16220118545164,2
390,type 3,0.381116455864281,3.90578465838235,2
391,type 4,0,1,0
392,type 1,0.162488237864537,3,2
393,type 4,0,1,0
394,type 1,0.314065492438533,3.52006272592806,2
395,type 1,0.162488237864537,3,2
396,type 2,0.64084672859618,6.12681476135422,3
397,type 2,0.355245321275764,4.92161210131528,1
398,type 2,0.485707906806919,5.06332593536883,2
399,type 2,0.641475212916816,6.00849479416546,3
400,type 1,0.0815649357620124,2,1
401,type 1,0.181432261960644,2.44214272944144,1
402,type 1,0.162488237864537,3,2
403,type 1,0.162488237864537,3,2
404,type 1,0.136698050715568,2.21266088331867,1
405,type 1,0.270736167232985,3.33750089880782,2
406,type 3,0.507765968533758,4.96790637029015,2
407,type 1,0.355245321275764,4.92161210131528,1
408,type 1,0.136698050715568,2.21266088331867,1
409,type 1,0.181432261960644,2.44214272944144,1
410,type 3,0.279279910128661,3.26449981483829,1
411,type 4,0.375614963150836,6.30012372456901,1
412,type 1,0.21695679408822,3.16220118545164,2
413,type 1,0.261001822254378,3.33006430996604,2
414,type 1,0.21695679408822,3.16220118545164,2
415,type 1,0.0815649357620124,2,1
416,type 3,0.298009650268171,3.5032381032867,2
417,type 3,0.339855679587503,4.30021195470333,3
418,type 1,0.564475467872424,6.20577020038903,2
419,type 3,0.261001822254378,3.33006430996604,2
420,type 1,0.181432261960644,2.44214272944144,1
421,type 1,0.21695679408822,3.16220118545164,2
422,type 1,0.162488237864537,3,2
423,type 4,0,1,0
424,type 1,0.136698050715568,2.21266088331867,1
425,type 1,0.270736167232985,3.33750089880782,2
426,type 1,0.0815649357620124,2,1
427,type 1,0.21695679408822,3.16220118545164,2
428,type 1,0.21695679408822,3.16220118545164,2
429,type 1,0.162488237864537,3,2
430,type 3,0.46866359758194,4.82225379843694,3
431,type 1,0.21695679408822,3.16220118545164,2
432,type 2,0.559559120980473,5.52957393085462,3
433,type 2,0.554428225871649,6.10080064078749,2
434,type 1,0.0815649357620124,2,1
435,type 1,0.21695679408822,3.16220118545164,2
436,type 1,0.0815649357620124,2,1
437,type 1,0.136698050715568,2.21266088331867,1
438,type 1,0.0815649357620124,2,1
439,type 1,0.0815649357620124,2,1
440,type 1,0.261001822254378,3.33006430996604,2
441,type 4,0,1,0
442,type 4,0,1,0
443,type 1,0.162488237864537,3,2
444,type 1,0.21695679408822,3.16220118545164,2
445,type 1,0.0815649357620124,2,1
446,type 1,0.21695679408822,3.16220118545164,2
447,type 1,0.21695679408822,3.16220118545164,2
448,type 1,0.0815649357620124,2,1
449,type 1,0.0815649357620124,2,1
450,type 1,0.42211694589383,4.1457880955608,2
451,type 2,0.517713091661141,5.19222366855109,2
452,type 1,0.0815649357620124,2,1
453,type 1,0.261001822254378,3.33006430996604,2
454,type 4,0,1,0
455,type 1,0.21695679408822,3.16220118545164,2
456,type 1,0.21695679408822,3.16220118545164,2
457,type 1,0.136698050715568,2.21266088331867,1
458,type 1,0.296526354381955,4.14855654050828,3
459,type 1,0.136698050715568,2.21266088331867,1
460,type 3,0.433984604744146,4.64403265543954,3
461,type 4,0,1,0
462,type 1,0.270736167232985,3.33750089880782,2
463,type 1,0.21695679408822,3.16220118545164,2
464,type 1,0.270736167232985,3.33750089880782,2
465,type 1,0.21695679408822,3.16220118545164,2
466,type 3,0.42211694589383,4.1457880955608,2
467,type 3,0.426817568262608,4.15890359535106,2
468,type 3,0.426817568262608,4.15890359535106,2
469,type 1,0.21695679408822,3.16220118545164,2
470,type 1,0.0815649357620124,2,1
